
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0000, x=01, y=01 cx=1
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=02, y=01 cx=2 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=03, y=01 cx=3 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=04, y=01 cx=4 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=05, y=01 cx=5 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=06, y=01 cx=6 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=07, y=01 cx=7 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=08, y=01 cx=8 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=09, y=01 cx=9 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=10, y=01 cx=10 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=11, y=01 cx=11 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=12, y=01 cx=12 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=13, y=01 cx=13 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=14, y=01 cx=14 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=15, y=01 cx=15 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=16, y=01 cx=16 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=17, y=01 cx=17 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=18, y=01 cx=18 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=19, y=01 cx=19 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=20, y=01 cx=20 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=21, y=01 cx=21 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=22, y=01 cx=22 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=23, y=01 cx=23 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=24, y=01 cx=24 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=25, y=01 cx=25 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=26, y=01 cx=26 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=27, y=01 cx=27 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=28, y=01 cx=28 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=29, y=01 cx=29 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=30, y=01 cx=30 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=31, y=01 cx=31 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=32, y=01 cx=32 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=33, y=01 cx=33 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=34, y=01 cx=34 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=35, y=01 cx=35 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=36, y=01 cx=36 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=37, y=01 cx=37 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=38, y=01 cx=38 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=39, y=01 cx=39 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=40, y=01 cx=40 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=41, y=01 cx=41 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=42, y=01 cx=42 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=43, y=01 cx=43 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=44, y=01 cx=44 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=45, y=01 cx=45 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=46, y=01 cx=46 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=47, y=01 cx=47 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=48, y=01 cx=48 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=49, y=01 cx=49 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=50, y=01 cx=50 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=51, y=01 cx=51 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=52, y=01 cx=52 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=53, y=01 cx=53 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=54, y=01 cx=54 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=55, y=01 cx=55 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=56, y=01 cx=56 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=57, y=01 cx=57 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=58, y=01 cx=58 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=59, y=01 cx=59 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=60, y=01 cx=60 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=61, y=01 cx=61 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=62, y=01 cx=62 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=63, y=01 cx=63 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=64, y=01 cx=64 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=65, y=01 cx=65 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=66, y=01 cx=66 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=67, y=01 cx=67 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=68, y=01 cx=68 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=69, y=01 cx=69 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=70, y=01 cx=70 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=71, y=01 cx=71 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=72, y=01 cx=72 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=73, y=01 cx=73 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=74, y=01 cx=74 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=75, y=01 cx=75 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=76, y=01 cx=76 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=77, y=01 cx=77 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=78, y=01 cx=78 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=79, y=01 cx=79 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=80, y=01 cx=80 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=01, y=02 cx=81 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=02, y=02 cx=82 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=03, y=02 cx=83 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=04, y=02 cx=84 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=05, y=02 cx=85 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=06, y=02 cx=86 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=07, y=02 cx=87 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=08, y=02 cx=88 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=09, y=02 cx=89 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=10, y=02 cx=90 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=11, y=02 cx=91 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=12, y=02 cx=92 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=13, y=02 cx=93 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=14, y=02 cx=94 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=15, y=02 cx=95 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=16, y=02 cx=96 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=17, y=02 cx=97 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=18, y=02 cx=98 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=19, y=02 cx=99 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=20, y=02 cx=100 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=21, y=02 cx=101 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=22, y=02 cx=102 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=23, y=02 cx=103 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=24, y=02 cx=104 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=25, y=02 cx=105 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=26, y=02 cx=106 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=27, y=02 cx=107 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=28, y=02 cx=108 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=29, y=02 cx=109 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=30, y=02 cx=110 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=31, y=02 cx=111 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=32, y=02 cx=112 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=33, y=02 cx=113 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=34, y=02 cx=114 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=35, y=02 cx=115 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=36, y=02 cx=116 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=37, y=02 cx=117 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=38, y=02 cx=118 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=39, y=02 cx=119 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=40, y=02 cx=120 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=41, y=02 cx=121 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=42, y=02 cx=122 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=43, y=02 cx=123 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=44, y=02 cx=124 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=45, y=02 cx=125 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=46, y=02 cx=126 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=47, y=02 cx=127 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=48, y=02 cx=128 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=49, y=02 cx=129 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=50, y=02 cx=130 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=51, y=02 cx=131 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=52, y=02 cx=132 used @[0000]
